Date,"Retail sales, total",Electronic shopping and mail order houses,Electronics and appliance stores,Clothing stores,"Hobby, toy, and game stores"
2016-06,"410,045","38,775","7,366","15,067","1,188"
2016-07,"405,935","38,872","7,413","15,367","1,239"
2016-08,"416,449","39,229","7,854","16,179","1,239"
2016-09,"394,147","39,518","7,415","14,855","1,315"
2016-10,"397,337","39,969","7,056","15,527","1,428"
2016-11,"413,872","40,237","9,203","17,763","2,234"
2016-12,"482,053","40,955","11,431","24,003","3,432"
2017-01,"368,960","41,456","7,034","11,843","1,182"
2017-02,"365,480","41,662","6,719","12,703","1,181"
2017-03,"422,891","42,157","7,495","15,785","1,355"
2017-04,"407,165","42,922","6,673","15,683","1,278"
2017-05,"434,450","43,098","7,155","16,005","1,247"
2017-06,"423,034","43,438","7,227","15,397","1,178"
2017-07,"416,900","43,918","7,071","15,368","1,193"
2017-08,"431,822","44,008","7,468","16,356","1,243"
2017-09,"412,578","44,424","7,294","14,713","1,348"
2017-10,"417,830","44,077","7,168","15,361","1,445"
2017-11,"442,077","46,017","9,703","18,393","2,239"
2017-12,"497,027","46,733","11,417","23,501","3,258"
2018-01,"389,808","46,387","7,290","11,643","1,187"
2018-02,"380,671","47,272","6,972","12,926","1,230"
2018-03,"444,994","47,799","7,581","16,382","1,720"
2018-04,"420,245","48,196","6,835","14,945","1,358"
2018-05,"464,050","48,140","7,397","17,132","1,438"
2018-06,"443,577","48,339","7,504","15,676","1,259"
2018-07,"441,767","49,119","7,378","15,944","1,046"
2018-08,"456,030","49,458","7,861","16,608","1,100"
2018-09,"417,172","50,248","7,280","14,709","1,182"
2018-10,"441,878","50,461","7,335","15,833","1,282"
2018-11,"459,319","52,430","9,565","19,074","1,986"
2018-12,"493,526","46,816","11,004","23,481","2,101"
2019-01,"399,461","52,738","7,162","11,955","1,131"
2019-02,"384,967","53,365","6,562","12,514","1,088"
2019-03,"447,155","53,145","7,192","16,212","1,265"
2019-04,"442,921","54,225","6,489","15,820","1,159"
2019-05,"475,897","55,641","7,112","16,829","1,235"
2019-06,"448,595","56,317","6,983","15,728","1,169"
2019-07,"462,097","56,508","7,170","15,971","1,178"
2019-08,"473,482","56,956","7,519","17,028","1,269"
2019-09,"429,556","56,798","7,123","14,374","1,254"
2019-10,"456,436","57,426","7,096","16,070","1,407"
2019-11,"469,003","56,807","9,242","18,992","2,064"
2019-12,"521,467","56,720","10,886","24,357","2,305"
2020-01,"418,734","57,822","7,079","12,287","1,174"
2020-02,"415,511","58,027","6,687","13,439","1,200"
2020-03,"430,527","61,256","5,816","7,584",862
2020-04,"377,210","70,809","3,040","1,736",360
2020-05,"462,286","75,424","3,952","5,504","1,120"
2020-06,"481,205","71,895","5,608","11,080","1,420"
2020-07,"494,905","73,073","6,555","12,098","1,409"
2020-08,"488,949","74,608","6,839","12,933","1,508"
2020-09,"476,247","73,026","6,459","12,912","1,582"
2020-10,"495,722","74,972","6,865","14,165","1,674"
2020-11,"492,362","74,660","8,296","15,038","2,412"
2020-12,"559,932","66,947","9,484","19,983","2,617"
2021-01,"464,362","78,993","7,066","10,568","1,646"
2021-02,"440,019","75,939","6,203","10,654","1,445"
2021-03,"567,933","80,201","7,980","16,275","1,980"
2021-04,"558,181","80,048","7,306","16,033","1,777"
2021-05,"570,641","79,142","7,594","17,598","1,768"
2021-06,"562,929","79,113","7,983","17,331","1,733"
2021-07,"558,031","75,133","7,978","17,876","1,812"
2021-08,"557,018","80,188","7,952","17,279","1,844"
2021-09,"536,229","79,740","7,645","15,846","1,939"
2021-10,"559,399","82,729","8,087","17,187","2,063"
2021-11,"580,162","81,389","9,314","20,379","2,908"
